Country,Cases,Deaths,Recov.,latitude,longitude
United States,155705,281,4913,37.09024,-95.712891
Italy,101739,11591,1462,41.87194,12.56738
Spain,85199,7424,1678,40.463667,-3.74922
China,8147,3304,7577,35.86166,104.195397
Germany,64527,568,6522,51.165691,10.451526
Iran,41495,2757,13911,32.427908,53.688046
France,40174,2606,7202,46.227638,2.213749
United Kingdom,22141,1408,135,55.378051,-3.435973
Switzerland,15923,354,2105,46.818188,8.227512
Belgium,11899,513,1527,50.503887,4.469936
Netherlands,1175,864,0,52.132633,5.291266
Turkey,10827,168,162,38.963745,35.243322
South Korea,9661,158,5228,35.907757,127.766922
Austria,9541,108,636,47.516231,14.550072
Canada,7319,82,956,56.130366,-106.346771
Portugal,6408,140,43,39.399872,-8.224454
Norway,4445,32,0,60.472024,8.468946
Israel,4347,15,132,31.046051,34.851612
Brazil,433,140,120,-14.235004,-51.92528
Australia,4247,18,226,-25.274398,133.775136
Sweden,4106,161,18,60.128161,18.643501
Czech Republic,2976,23,25,49.817492,15.472962
Denmark,2755,77,0,56.26392,9.501785
Malaysia,2626,37,479,4.210484,101.975766
Ireland,2615,46,5,53.41291,-8.24389
Chile,2139,7,75,-35.675147,-71.542969
Romania,2109,65,209,45.943161,24.96676
Poland,2055,31,35,51.919438,19.145136
Luxembourg,1988,22,40,49.815273,6.129583
Ecuador,189,57,3,-1.831239,-78.183406
Japan,1866,54,404,36.204824,138.252924
Russia,1836,9,66,61.52401,105.318756
Pakistan,1717,20,57,30.375321,69.345116
Philippines,1546,78,42,12.879721,121.774017
Thailand,1524,9,127,15.870032,100.992541
Saudi Arabia,1453,8,115,23.885942,45.079162
Indonesia,1414,122,75,-0.789275,113.921327
South Africa,1326,3,31,-30.559482,22.937506
Finland,1308,13,10,61.92411,25.748151
Greece,1212,43,52,39.074208,21.824312
India,1251,32,102,20.593684,78.96288
Iceland,102,2,135,64.963051,-19.020835
Mexico,993,20,3,23.634501,-102.552784
Panama,989,24,4,8.537981,-80.782127
Peru,950,24,322,-9.189967,-75.015152
Singapore,879,3,228,1.352083,103.819836
Dominican Republic,859,39,3,18.735693,-70.162651
Argentina,820,20,51,-38.416097,-63.616672
Croatia,790,6,64,45.1,15.2
Serbia,785,16,42,44.016521,21.005859
Slovenia,756,11,10,46.151241,14.995463
Estonia,715,3,20,58.595272,25.013607
Colombia,702,10,10,4.570868,-74.297333
Qatar,693,1,51,25.354826,51.183884
Hong Kong,682,4,124,22.396428,114.109497
Egypt,656,41,132,26.820553,30.802498
Iraq,630,46,152,33.223191,43.679291
United Arab Emirates,611,5,61,23.424076,53.847818
Algeria,584,35,31,28.033886,1.659626
New Zealand,552,1,63,-40.900557,174.885971
Ukraine,548,13,8,48.379433,31.16558
Morocco,534,33,14,31.791702,-7.09262
Bahrain,515,4,295,25.930414,50.637772
Lithuania,484,7,1,55.169438,23.881275
Armenia,482,3,30,40.069099,45.038189
Hungary,447,15,34,47.162494,19.503304
Lebanon,446,11,35,33.854721,35.862285
Latvia,376,0,1,56.879635,24.603189
Bulgaria,359,8,15,42.733883,25.48583
Bosnia and Herzegovina,358,9,17,43.915886,17.679076
Slovakia,336,0,7,48.669026,19.699024
Andorra,334,6,6,42.546245,1.601554
Costa Rica,330,2,4,9.748917,-83.753428
Tunisia,312,8,2,33.886917,9.537499
Uruguay,309,1,0,-32.522779,-55.765835
Taiwan,306,5,39,23.69781,120.960515
Kazakhstan,302,1,21,48.019573,66.923684
Azerbaijan,273,4,26,40.143105,47.576927
Kuwait,266,0,72,29.31166,47.481766
Jordan,259,4,18,30.585164,36.238414
Burkina Faso,246,12,31,12.238333,-1.561593
Moldova,245,2,13,47.411631,28.369885
San Marino,230,25,13,43.94236,12.457777
Cyprus,225,6,18,35.126413,33.429859
Réunion,224,0,0,-21.115141,55.536384
Albania,223,12,44,41.153332,20.168331
Vietnam,203,0,55,14.058324,108.277199
Oman,179,0,29,21.512583,55.923255
Cuba,170,4,4,21.521757,-77.781167
Faroe Islands,168,0,70,61.892635,-6.911806
Senegal,162,0,28,14.497401,-14.452362
Malta,156,0,2,35.937496,14.375416
Belarus,152,0,47,53.709807,27.953389
Ghana,152,5,2,7.946527,-1.023194
Uzbekistan,149,2,7,41.377491,64.585262
Cameroon,139,6,5,7.369722,12.354722
Honduras,139,3,3,15.199999,-86.241905
Nigeria,131,2,8,9.081999,8.675277
Venezuela,129,3,39,6.42375,-66.58973
Mauritius,128,3,0,-20.348404,57.552152
Puerto Rico,174,6,0,18.220833,-66.590149
Brunei,127,1,38,4.535277,114.727669
Sri Lanka,122,2,14,7.873054,80.771797
Afghanistan,120,4,2,33.93911,67.709953
Cambodia,107,0,23,12.565679,104.990963
Guadeloupe,106,4,0,16.995971,-62.067641
Georgia,103,0,20,42.315407,43.356892
Bolivia,97,4,0,-16.290154,-63.588653
Kyrgyzstan,94,0,3,41.20438,74.766098
Martinique,93,1,0,14.641528,-61.024174
Montenegro,91,1,0,42.708678,19.37439
Kosovo,88,1,1,42.602636,20.902977
Mayotte,82,0,0,-12.8275,45.166244
Trinidad and Tobago,82,3,1,10.691803,-61.222503
Jersey,81,2,0,49.214439,-2.13125
Rwanda,70,0,0,-1.940278,29.873888
Gibraltar,65,0,14,36.137741,-5.345374
Liechtenstein,64,0,0,47.166,9.555373
Paraguay,64,3,1,-23.442503,-58.443832
Guernsey,60,0,0,49.465691,-2.585278
Guam,58,1,0,13.444304,144.793731
Aruba,50,0,0,12.52111,-69.968338
Kenya,50,1,1,-0.023559,37.906193
Bangladesh,49,5,19,23.684994,90.356331
Isle of Man,49,0,0,54.236107,-4.548056
Monaco,46,0,1,43.750298,7.412841
French Guiana,43,0,0,3.933889,-53.125782
Madagascar,39,0,0,-18.766947,46.869107
Macau,38,0,10,22.198745,113.543873
Guatemala,36,1,10,15.783471,-90.230759
Jamaica,36,1,2,18.109581,-77.297508
French Polynesia,35,0,0,-17.679742,-149.406843
Zambia,35,0,0,-13.133897,27.849332
Togo,34,1,10,8.619543,0.824782
Barbados,33,0,0,13.193887,-59.543198
Uganda,33,0,0,1.373333,32.290275
El Salvador,30,0,0,13.794185,-88.89653
U.S. Virgin Islands,30,0,0,18.335765,-64.896335
Mali,25,2,0,17.570692,-3.996166
Ethiopia,23,0,1,9.145,40.489673
Bermuda,22,0,10,32.321384,-64.75737
Guinea,22,0,0,9.945587,-9.696645
Niger,22,3,0,17.607789,8.081666
Tanzania,19,0,1,-6.369028,34.888822
Djibouti,18,0,0,11.825138,42.590275
Maldives,17,0,11,3.202778,73.22068
New Caledonia,15,0,0,-20.904305,165.618042
Bahamas,14,0,0,25.03428,-77.39628
Cayman Islands,12,1,0,19.513469,-80.566956
Equatorial Guinea,12,0,0,1.650801,10.267895
Eritrea,12,0,0,15.179384,39.782334
Mongolia,12,0,0,46.862496,103.846656
Dominica,11,0,0,15.414999,-61.370976
Namibia,11,0,2,-22.95764,18.49041
Greenland,10,0,2,71.706936,-42.604303
Grenada,9,0,0,12.262776,-61.604171
Saint Lucia,9,0,0,13.909444,-60.978893
Syria,9,1,0,34.802075,38.996815
Guinea-Bissau,8,0,0,11.803749,-15.180413
Guyana,8,1,0,4.860416,-58.93018
Haiti,8,0,0,18.971187,-72.285215
Laos,8,0,0,19.85627,102.495496
Libya,8,0,0,26.3351,17.228331
Mozambique,8,0,0,-18.665695,35.529562
Seychelles,8,0,0,-4.679574,55.491977
Suriname,8,0,0,3.919305,-56.027783
Angola,7,2,0,-11.202692,17.873887
Antigua and Barbuda,7,0,0,17.060816,-61.796428
Gabon,7,1,0,-0.803689,11.609444
Saint Kitts and Nevis,7,0,0,17.357822,-62.782998
Zimbabwe,7,1,0,-19.015438,29.154857
Benin,6,0,0,9.30769,2.315834
Cape Verde,6,1,0,16.002082,-24.013197
Sudan,6,2,0,12.862807,30.217636
Vatican City,6,0,0,41.902916,12.453389
Chad,5,0,0,15.454166,18.732207
Fiji,5,0,0,-16.578193,179.414413
Mauritania,5,0,0,21.00789,-10.940835
Montserrat,5,0,0,16.742498,-62.187366
Nepal,5,0,1,28.394857,84.124008
Turks and Caicos Islands,5,0,0,21.694025,-71.797928
Bhutan,4,0,0,27.514162,90.433601
Gambia,4,1,0,13.443182,-15.310139
Nicaragua,4,1,0,12.865416,-85.207229
Belize,3,0,0,17.189877,-88.49765
Botswana,3,0,0,-22.328474,24.684866
Central African Republic,3,0,0,6.611111,20.939444
Liberia,3,0,0,6.428055,-9.429499
Somalia,3,0,0,5.152149,46.199616
Anguilla,2,0,0,18.220554,-63.068615
British Virgin Islands,2,0,0,18.420695,-64.639968
Northern Mariana Islands,2,0,0,17.33083,145.38469
Papua New Guinea,1,0,0,-6.314993,143.95555
